topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
translation,0,123,hyperparameters,4 v100 machines,using,batch size,4 v100 machines using batch size,0.6305992603302002
translation,0,123,hyperparameters,batch size,of,8,batch size of 8,0.6920418739318848
translation,0,123,hyperparameters,batch size,of,64,batch size of 64,0.6741159558296204
translation,0,123,hyperparameters,64,for,pretraining,64 for pretraining,0.6373363137245178
translation,0,123,hyperparameters,hyperparameters,trained over,4 v100 machines,hyperparameters trained over 4 v100 machines,0.7474038004875183
translation,0,123,hyperparameters,hyperparameters,has,model,hyperparameters has model,0.5282720923423767
translation,0,124,hyperparameters,pretraining,use,adam optimizer,pretraining use adam optimizer,0.6046673059463501
translation,0,124,hyperparameters,adam optimizer,with,learning rate,adam optimizer with learning rate,0.6042178273200989
translation,0,124,hyperparameters,learning rate,of,0.0001,learning rate of 0.0001,0.5900294780731201
translation,0,124,hyperparameters,0.0001,for,2 epochs,0.0001 for 2 epochs,0.6230432391166687
translation,0,124,hyperparameters,2 epochs,over,3.2 million image - text pairs,2 epochs over 3.2 million image - text pairs,0.5656431913375854
translation,0,124,hyperparameters,ablations,during,pretraining stage,ablations during pretraining stage,0.7426111102104187
translation,0,124,hyperparameters,hyperparameters,For,pretraining,hyperparameters For pretraining,0.518390417098999
translation,0,125,hyperparameters,textual embeddings,with,vocabulary size,textual embeddings with vocabulary size,0.5549163818359375
translation,0,125,hyperparameters,textual embeddings,with,522,textual embeddings with 522,0.6252310276031494
translation,0,125,hyperparameters,textual embeddings,with,intermediate hidden embedding size,textual embeddings with intermediate hidden embedding size,0.5926222801208496
translation,0,125,hyperparameters,vocabulary size,of,30,vocabulary size of 30,0.6708650588989258
translation,0,125,hyperparameters,vocabulary size,of,522,vocabulary size of 522,0.6480286717414856
translation,0,125,hyperparameters,30,",",522,"30 , 522",0.6935141682624817
translation,0,125,hyperparameters,3072,for,textual and visual features,3072 for textual and visual features,0.6024065017700195
translation,0,125,hyperparameters,768 dimensional,has,textual embeddings,768 dimensional has textual embeddings,0.5640314817428589
translation,0,125,hyperparameters,intermediate hidden embedding size,has,3072,intermediate hidden embedding size has 3072,0.6249880790710449
translation,0,125,hyperparameters,hyperparameters,use,768 dimensional,hyperparameters use 768 dimensional,0.6473396420478821
translation,0,125,hyperparameters,hyperparameters,use,intermediate hidden embedding size,hyperparameters use intermediate hidden embedding size,0.6022611856460571
translation,0,126,hyperparameters,4096 dimensional vgg - 19 image features,into,2048 dimensions,4096 dimensional vgg - 19 image features into 2048 dimensions,0.543445348739624
translation,0,126,hyperparameters,4096 dimensional vgg - 19 image features,use it as,input,4096 dimensional vgg - 19 image features use it as input,0.5326526165008545
translation,0,126,hyperparameters,input,to,visual stream,input to visual stream,0.5820993781089783
translation,0,126,hyperparameters,hyperparameters,project,4096 dimensional vgg - 19 image features,hyperparameters project 4096 dimensional vgg - 19 image features,0.6807615756988525
translation,0,6,model,model,propose,task - mimoqa - multimodal input multimodal output question answering,model propose task - mimoqa - multimodal input multimodal output question answering,0.6652691960334778
translation,0,8,model,joint textual and visual attention,towards producing,multimodal output,joint textual and visual attention towards producing multimodal output,0.6602863073348999
translation,0,8,model,model,propose,multimodal question - answering framework,model propose multimodal question - answering framework,0.6477821469306946
translation,0,24,model,novel multimodal framework,for extracting,multimodal answers,novel multimodal framework for extracting multimodal answers,0.6745684742927551
translation,0,24,model,novel multimodal framework,compare it against,relevant strong baselines,novel multimodal framework compare it against relevant strong baselines,0.6454901695251465
translation,0,24,model,multimodal answers,to,given question,multimodal answers to given question,0.585201621055603
translation,0,24,model,mexbert,has,novel multimodal framework,mexbert has novel multimodal framework,0.5755336284637451
translation,0,24,model,model,propose,mexbert,model propose mexbert,0.6846976280212402
translation,0,25,model,method,includes,novel pretraining methodology,method includes novel pretraining methodology,0.6029712557792664
translation,0,25,model,method,uses,proxy supervision technique,method uses proxy supervision technique,0.6297076940536499
translation,0,25,model,proxy supervision technique,for,image selection,proxy supervision technique for image selection,0.6066771745681763
translation,0,25,model,model,uses,proxy supervision technique,model uses proxy supervision technique,0.6120868921279907
translation,0,51,model,textual stream,employs,two types of layers,textual stream employs two types of layers,0.5648068189620972
translation,0,51,model,textual stream,employs,additional cross-attention layers,textual stream employs additional cross-attention layers,0.5433626770973206
translation,0,51,model,two types of layers,has,regular self-attention layers,two types of layers has regular self-attention layers,0.5459692478179932
translation,0,141,results,image metrics,found,precision@1,image metrics found precision@1,0.5850197076797485
translation,0,141,results,precision@1,most strongly correlated with,human judgement,precision@1 most strongly correlated with human judgement,0.6545090675354004
translation,0,141,results,human judgement,has,0.5421 ),human judgement has 0.5421 ),0.5497012734413147
translation,0,141,results,results,For,image metrics,results For image metrics,0.555777370929718
translation,0,174,results,proxy supervision mechanism,while training,model,proxy supervision mechanism while training model,0.6462666988372803
translation,0,174,results,model,find,very significant improvement,model find very significant improvement,0.5782914757728577
translation,0,174,results,very significant improvement,specially in,precision @ 1 scores,very significant improvement specially in precision @ 1 scores,0.6190690398216248
translation,0,174,results,results,Applying,proxy supervision mechanism,results Applying proxy supervision mechanism,0.6732624769210815
translation,0,178,results,visual pretraining,yields,larger improvements,visual pretraining yields larger improvements,0.7002803087234497
translation,0,178,results,larger improvements,on,precision@1 metric,larger improvements on precision@1 metric,0.4852542281150818
translation,0,178,results,language pretraining,provides,marginal improvements,language pretraining provides marginal improvements,0.6113986968994141
translation,0,178,results,results,has,visual pretraining,results has visual pretraining,0.5294809937477112
translation,1,134,experiments,preprocessing,uses,spanbert - based coreference system,preprocessing uses spanbert - based coreference system,0.5661961436271667
translation,1,134,experiments,preprocessing,uses,"bert - based srl system ( shi and lin , 2019 )","preprocessing uses bert - based srl system ( shi and lin , 2019 )",0.5962516665458679
translation,1,132,hyperparameters,beam size b = 20,for,constrained alignment,beam size b = 20 for constrained alignment,0.5941236615180969
translation,1,132,hyperparameters,hyperparameters,set,beam size b = 20,hyperparameters set beam size b = 20,0.639312207698822
translation,1,133,hyperparameters,model,using,"adam ( kingma and ba , 2014 )","model using adam ( kingma and ba , 2014 )",0.6956616044044495
translation,1,133,hyperparameters,"adam ( kingma and ba , 2014 )",with,learning rate,"adam ( kingma and ba , 2014 ) with learning rate",0.5989180207252502
translation,1,133,hyperparameters,learning rate,set to,2e - 5,learning rate set to 2e - 5,0.7298941016197205
translation,1,133,hyperparameters,hyperparameters,use,bert - base-uncased,hyperparameters use bert - base-uncased,0.6372579336166382
translation,1,133,hyperparameters,hyperparameters,fine - tune,model,hyperparameters fine - tune model,0.7390584349632263
translation,1,136,hyperparameters,global model,initialize,weights,global model initialize weights,0.7288594841957092
translation,1,136,hyperparameters,global model,fine - tune,ssvm loss,global model fine - tune ssvm loss,0.6763852834701538
translation,1,136,hyperparameters,weights,using,locally trained model,weights using locally trained model,0.665924072265625
translation,1,136,hyperparameters,hyperparameters,For,global model,hyperparameters For global model,0.5727614760398865
translation,1,5,model,question answering,as,alignment problem,question answering as alignment problem,0.5077497959136963
translation,1,6,model,question and context,into,smaller units,question and context into smaller units,0.6174953579902649
translation,1,6,model,smaller units,based on,"off- the-shelf semantic representations ( here , semantic roles )","smaller units based on off- the-shelf semantic representations ( here , semantic roles )",0.5909615159034729
translation,1,6,model,question,to,subgraph,question to subgraph,0.6338566541671753
translation,1,6,model,subgraph,of,context,subgraph of context,0.5824438333511353
translation,1,6,model,context,to find,answer,context to find answer,0.7042497396469116
translation,1,6,model,model,decompose,question and context,model decompose question and context,0.7170715928077698
translation,1,7,model,our model,as,structured svm,our model as structured svm,0.5099431276321411
translation,1,7,model,structured svm,with,alignment scores,structured svm with alignment scores,0.6502763032913208
translation,1,7,model,alignment scores,computed via,bert,alignment scores computed via bert,0.724682092666626
translation,1,7,model,end-to - end,using,beam search,end-to - end using beam search,0.6884840130805969
translation,1,7,model,beam search,for,approximate inference,beam search for approximate inference,0.5720199346542358
translation,1,7,model,model,formulate,our model,model formulate our model,0.6870517134666443
translation,1,7,model,model,as,structured svm,model as structured svm,0.5584609508514404
translation,1,253,model,our model,around,explicit alignment scoring,our model around explicit alignment scoring,0.7043860554695129
translation,1,253,model,our model,show that,our approach,our model show that our approach,0.5228199362754822
translation,1,253,model,our approach,generalize,better,our approach generalize better,0.7277902364730835
translation,1,253,model,better,to,other domains,better to other domains,0.5413065552711487
translation,1,253,model,model,structuring,our model,model structuring our model,0.7255035638809204
translation,1,141,results,not as good,as,bert qa,not as good as bert qa,0.6540934443473816
translation,1,141,results,bert qa,on,normal squad,bert qa on normal squad,0.6194449067115784
translation,1,141,results,outperforms it,in,challenging settings,outperforms it in challenging settings,0.5899881720542908
translation,1,141,results,results,has,our model,results has our model,0.5871725678443909
translation,1,145,results,performance,in,adversarial settings,performance in adversarial settings,0.543838381767273
translation,1,145,results,global training and inference,has,improve,global training and inference has improve,0.5893315076828003
translation,1,145,results,improve,has,performance,improve has performance,0.5578044652938843
translation,1,145,results,results,has,global training and inference,results has global training and inference,0.5114513635635376
translation,1,153,results,strict wh answer extraction,gives,strong performance,strict wh answer extraction gives strong performance,0.6127561330795288
translation,1,153,results,strong performance,From,ablation,strong performance From ablation,0.6051855087280273
translation,1,153,results,strong performance,observe,our   strictest   system,strong performance observe our   strictest   system,0.5852829217910767
translation,1,153,results,our   strictest   system,that extracts,answer,our   strictest   system that extracts answer,0.8026028871536255
translation,1,153,results,answer,using,whaligned node,answer using whaligned node,0.6981950402259827
translation,1,153,results,whaligned node,is,worse,whaligned node is worse,0.6464276313781738
translation,1,153,results,whaligned node,only,worse,whaligned node only worse,0.7473528981208801
translation,1,153,results,worse,by,3 - 4 points of f1,worse by 3 - 4 points of f1,0.632164716720581
translation,1,153,results,3 - 4 points of f1,on,most datasets,3 - 4 points of f1 on most datasets,0.5215761661529541
translation,1,153,results,answer,has,only,answer has only,0.5855820178985596
translation,1,153,results,results,Using,strict wh answer extraction,results Using strict wh answer extraction,0.6293092370033264
translation,1,153,results,results,observe,our   strictest   system,results observe our   strictest   system,0.6145346164703369
translation,1,157,results,results,subsets of,universal triggers dataset,results subsets of universal triggers dataset,0.6739934086799622
translation,1,158,results,every trigger,results in,bigger performance drop,every trigger results in bigger performance drop,0.6039908528327942
translation,1,158,results,bigger performance drop,on,bert qa,bigger performance drop on bert qa,0.6229203939437866
translation,1,158,results,bert qa,than,our model,bert qa than our model,0.6237041354179382
translation,1,158,results,results,see that,every trigger,results see that every trigger,0.680896520614624
translation,1,162,results,adversarial attacks,on,span-based question answering models,adversarial attacks on span-based question answering models,0.5353458523750305
translation,1,162,results,span-based question answering models,may not fool,our model,span-based question answering models may not fool our model,0.723638653755188
translation,1,164,results,performance,of,our model,performance of our model,0.5847885608673096
translation,1,164,results,performance,on,squad - 1.1 data,performance on squad - 1.1 data,0.5373183488845825
translation,1,164,results,our model,on,squad - 1.1 data,our model on squad - 1.1 data,0.5547560453414917
translation,1,164,results,our model,achieve,best overall performance,our model achieve best overall performance,0.6275098323822021
translation,1,164,results,squad - 1.1 data,is,relatively lower,squad - 1.1 data is relatively lower,0.5886185765266418
translation,1,164,results,relatively lower,compared to,those methods,relatively lower compared to those methods,0.714041531085968
translation,1,164,results,results,note that,performance,results note that performance,0.6311826109886169
translation,1,207,results,coverage,same as,entity constraint,coverage same as entity constraint,0.5457351207733154
translation,1,207,results,performance,under,alignment score constraint,performance under alignment score constraint,0.6381195187568665
translation,1,207,results,performance,is,even better,performance is even better,0.6041994094848633
translation,1,207,results,coverage,has,performance,coverage has performance,0.600222110748291
translation,1,207,results,entity constraint,has,performance,entity constraint has performance,0.5694220066070557
translation,1,207,results,results,when,coverage,results when coverage,0.6433955430984497
translation,1,265,results,results,on,squad addonesent,results on squad addonesent,0.5526737570762634
translation,1,266,results,bert qa,on,squad addonesent,bert qa on squad addonesent,0.6285651326179504
translation,1,266,results,results,compared to,bert qa,results compared to bert qa,0.6899746656417847
translation,1,302,results,hard entity constraint,achieve,71.4 f1 score,hard entity constraint achieve 71.4 f1 score,0.5790452361106873
translation,1,302,results,71.4 f1 score,is,8.6 improvement,71.4 f1 score is 8.6 improvement,0.5711986422538757
translation,1,302,results,8.6 improvement,over,un-,8.6 improvement over un-,0.6775999069213867
translation,1,302,results,constrained model,at,cost,constrained model at cost,0.5553392171859741
translation,2,216,ablation-analysis,outperforms,has,all other baselines,outperforms has all other baselines,0.5747320652008057
translation,2,216,ablation-analysis,ablation analysis,ablation of,rp,ablation analysis ablation of rp,0.8089476227760315
translation,2,234,ablation-analysis,ablation of acsa,brings,performance degradation,ablation of acsa brings performance degradation,0.5886204838752747
translation,2,234,ablation-analysis,performance degradation,of,rp,performance degradation of rp,0.6500968933105469
translation,2,234,ablation-analysis,rp,on,both metrics,rp on both metrics,0.5805268883705139
translation,2,234,ablation-analysis,ablation analysis,has,ablation of acsa,ablation analysis has ablation of acsa,0.5147429704666138
translation,2,198,baselines,non-bert based models,include,"textcnn ( kim , 2014 )","non-bert based models include textcnn ( kim , 2014 )",0.5646549463272095
translation,2,198,baselines,non-bert based models,include,"bilstm + attn ( zhou et al. , 2016 )","non-bert based models include bilstm + attn ( zhou et al. , 2016 )",0.49882829189300537
translation,2,198,baselines,non-bert based models,include,atae - lstm,non-bert based models include atae - lstm,0.5481953024864197
translation,2,198,baselines,non-bert based models,include,"cap-snet ( sabour et al. , 2017 )","non-bert based models include cap-snet ( sabour et al. , 2017 )",0.5632950067520142
translation,2,198,baselines,bert - based models,include,"vanilla bert ( devlin et al. , 2018 )","bert - based models include vanilla bert ( devlin et al. , 2018 )",0.558539628982544
translation,2,198,baselines,bert - based models,include,"qa-bert ( sun et al. , 2019 )","bert - based models include qa-bert ( sun et al. , 2019 )",0.5764646530151367
translation,2,198,baselines,bert - based models,include,"capsnet-bert ( jiang et al. , 2019 )","bert - based models include capsnet-bert ( jiang et al. , 2019 )",0.5487188100814819
translation,2,198,baselines,baselines,has,non-bert based models,baselines has non-bert based models,0.5750448703765869
translation,2,199,experimental-setup,non-bert - based models,initialize,inputs,non-bert - based models initialize inputs,0.7529618740081787
translation,2,199,experimental-setup,inputs,with,pre-trained embeddings,inputs with pre-trained embeddings,0.601285994052887
translation,2,199,experimental-setup,experimental setup,In terms of,non-bert - based models,experimental setup In terms of non-bert - based models,0.6965632438659668
translation,2,202,experimental-setup,bert - based models,adopt,12 - layer google bert base,bert - based models adopt 12 - layer google bert base,0.6915709972381592
translation,2,202,experimental-setup,12 - layer google bert base,to encode,inputs,12 - layer google bert base to encode inputs,0.7357175350189209
translation,2,202,experimental-setup,experimental setup,In terms of,bert - based models,experimental setup In terms of bert - based models,0.7106228470802307
translation,2,203,experimental-setup,batch sizes,set as,32 and 16,batch sizes set as 32 and 16,0.6837053894996643
translation,2,203,experimental-setup,32 and 16,for,non-bert - based models,32 and 16 for non-bert - based models,0.648293673992157
translation,2,203,experimental-setup,32 and 16,for,bert - based models,32 and 16 for bert - based models,0.6629627346992493
translation,2,203,experimental-setup,experimental setup,has,batch sizes,experimental setup has batch sizes,0.5236980319023132
translation,2,205,experimental-setup,maximum sequence length,set as,512,maximum sequence length set as 512,0.6801012754440308
translation,2,205,experimental-setup,experimental setup,has,maximum sequence length,experimental setup has maximum sequence length,0.5124795436859131
translation,2,206,experimental-setup,number of epochs,set as,3,number of epochs set as 3,0.6542441248893738
translation,2,206,experimental-setup,experimental setup,has,number of epochs,experimental setup has number of epochs,0.5322787761688232
translation,2,207,experimental-setup,learning rates,set as,0.001 and 0.00005,learning rates set as 0.001 and 0.00005,0.6366111040115356
translation,2,207,experimental-setup,0.001 and 0.00005,for,non-bert - based models,0.001 and 0.00005 for non-bert - based models,0.6214225888252258
translation,2,207,experimental-setup,0.001 and 0.00005,for,bert - based models,0.001 and 0.00005 for bert - based models,0.635610818862915
translation,2,207,experimental-setup,experimental setup,has,learning rates,experimental setup has learning rates,0.5043967366218567
translation,2,208,experimental-setup,experimental setup,trained on,single nvidia tesla 32g v100 volta gpu,experimental setup trained on single nvidia tesla 32g v100 volta gpu,0.7237432599067688
translation,2,200,experiments,chinese asap,utilize,jieba,chinese asap utilize jieba,0.6105450987815857
translation,2,200,experiments,chinese asap,adopt,tencent chinese word embeddings,chinese asap adopt tencent chinese word embeddings,0.5971593856811523
translation,2,200,experiments,jieba,to segment,chinese texts,jieba to segment chinese texts,0.6291021704673767
translation,2,200,experiments,jieba,composed of,8,jieba composed of 8,0.6803070306777954
translation,2,200,experiments,tencent chinese word embeddings,composed of,8,tencent chinese word embeddings composed of 8,0.5934950709342957
translation,2,200,experiments,tencent chinese word embeddings,composed of,"000 , 000 words","tencent chinese word embeddings composed of 000 , 000 words",0.6243324875831604
translation,2,200,experiments,),composed of,8,) composed of 8,0.6727218627929688
translation,2,200,experiments,),composed of,"000 , 000 words",") composed of 000 , 000 words",0.7669529318809509
translation,2,200,experiments,8,",","000 , 000 words","8 , 000 , 000 words",0.6687828898429871
translation,2,200,experiments,tencent chinese word embeddings,has,),tencent chinese word embeddings has ),0.5683133602142334
translation,2,201,experiments,english restaurant,adopt,300 - dimensional word embeddings,english restaurant adopt 300 - dimensional word embeddings,0.6011168956756592
translation,2,201,experiments,300 - dimensional word embeddings,pre-trained by,glove,300 - dimensional word embeddings pre-trained by glove,0.7620936632156372
translation,2,204,experiments,"adam optimizer ( kingma and ba , 2014 )",employed with,? 1 = 0.9 and ? 2 = 0.999,"adam optimizer ( kingma and ba , 2014 ) employed with ? 1 = 0.9 and ? 2 = 0.999",0.652041494846344
translation,2,40,model,model,presents,large-scale chinese restaurant review dataset,model presents large-scale chinese restaurant review dataset,0.5018475651741028
translation,2,47,model,joint model,employs,fine-to- coarse semantic capability,joint model employs fine-to- coarse semantic capability,0.5775598287582397
translation,2,50,model,large-scale chinese review dataset,towards,aspect category sentiment analysis,large-scale chinese review dataset towards aspect category sentiment analysis,0.5904213786125183
translation,2,50,model,large-scale chinese review dataset,towards,rating prediction,large-scale chinese review dataset towards rating prediction,0.5187992453575134
translation,2,50,model,rating prediction,named as,asap,rating prediction named as asap,0.6601923108100891
translation,2,50,model,asap,as many as,"46 , 730 real-world restaurant reviews","asap as many as 46 , 730 real-world restaurant reviews",0.6123000383377075
translation,2,50,model,"46 , 730 real-world restaurant reviews",annotated from,18 pre-defined aspect categories,"46 , 730 real-world restaurant reviews annotated from 18 pre-defined aspect categories",0.6959911584854126
translation,2,50,model,model,present,large-scale chinese review dataset,model present large-scale chinese review dataset,0.5166491270065308
translation,2,166,model,joint learning model,to address,acsa and rp,joint learning model to address acsa and rp,0.6310635805130005
translation,2,166,model,acsa and rp,in,multitask learning manner,acsa and rp in multitask learning manner,0.5474001169204712
translation,2,166,model,model,propose,joint learning model,model propose joint learning model,0.6386464834213257
translation,2,213,model,user review,treat,pre-defined aspect categories,user review treat pre-defined aspect categories,0.5872492790222168
translation,2,213,model,capsnet - bert,treat,pre-defined aspect categories,capsnet - bert treat pre-defined aspect categories,0.5973053574562073
translation,2,213,model,our joint model,combines them together with,multi-task learning framework,our joint model combines them together with multi-task learning framework,0.7099190950393677
translation,2,213,model,user review,has,vanilla - bert,user review has vanilla - bert,0.6376578211784363
translation,2,213,model,pre-defined aspect categories,has,independently,pre-defined aspect categories has independently,0.59365314245224
translation,2,213,model,model,Given,user review,model Given user review,0.7020931243896484
translation,2,51,results,https,:,//github.com,https : //github.com,0.6116153597831726
translation,2,51,results,https,:,/meituan-dianping,https : /meituan-dianping,0.6474690437316895
translation,2,51,results,https,explore,performance,https explore performance,0.7131853699684143
translation,2,51,results,/meituan-dianping,/,asap,/meituan-dianping / asap,0.759727954864502
translation,2,51,results,/meituan-dianping,/,asap,/meituan-dianping / asap,0.759727954864502
translation,2,51,results,performance,of,widely used models,performance of widely used models,0.5619772672653198
translation,2,51,results,widely used models,for,acsa and rp,widely used models for acsa and rp,0.5665002465248108
translation,2,51,results,acsa and rp,on,asap,acsa and rp on asap,0.6296358704566956
translation,2,51,results,//github.com,has,/meituan-dianping,//github.com has /meituan-dianping,0.504658043384552
translation,2,51,results,results,explore,performance,results explore performance,0.6754196882247925
translation,2,212,results,two variants,of,joint model,two variants of joint model,0.6022828221321106
translation,2,212,results,joint model,perform,better,joint model perform better,0.6372862458229065
translation,2,212,results,better,than,vanilla - bert,better than vanilla - bert,0.7007288932800293
translation,2,212,results,better,than,qa - bert,better than qa - bert,0.6761513352394104
translation,2,212,results,better,than,capsnet - bert,better than capsnet - bert,0.6675556302070618
translation,2,212,results,results,has,two variants,results has two variants,0.5471349358558655
translation,2,215,results,joint model,is,more efficient,joint model is more efficient,0.5753860473632812
translation,2,215,results,more efficient,than,other competitors,more efficient than other competitors,0.622593104839325
translation,2,215,results,more efficient,especially when,number of aspect categories,more efficient especially when number of aspect categories,0.5968297719955444
translation,2,215,results,other competitors,especially when,number of aspect categories,other competitors especially when number of aspect categories,0.5863860845565796
translation,2,215,results,number of aspect categories,is,large,number of aspect categories is large,0.560001015663147
translation,2,215,results,results,has,joint model,results has joint model,0.5378851294517517
translation,2,217,results,rp,to,acsa,rp to acsa,0.6883108019828796
translation,2,217,results,rp,brings,marginal improvement,rp brings marginal improvement,0.6214178800582886
translation,2,217,results,results,introduction of,rp,results introduction of rp,0.635371208190918
translation,2,232,results,our joint model,combines,acsa and rp,our joint model combines acsa and rp,0.747307300567627
translation,2,232,results,acsa and rp,has,outperforms,acsa and rp has outperforms,0.6383302211761475
translation,2,232,results,outperforms,has,other models,outperforms has other models,0.5875559449195862
translation,2,232,results,other models,has,considerably,other models has considerably,0.5606749057769775
translation,2,232,results,results,has,our joint model,results has our joint model,0.5684905052185059
translation,2,233,results,joint model,built upon,bert,joint model built upon bert,0.7043010592460632
translation,2,233,results,results,has,performance improvement,results has performance improvement,0.5912312269210815
translation,2,235,results,fine- grained aspect category sentiment prediction,of,review,fine- grained aspect category sentiment prediction of review,0.5102981925010681
translation,2,235,results,fine- grained aspect category sentiment prediction,helps,model,fine- grained aspect category sentiment prediction helps model,0.518795907497406
translation,2,235,results,model,predict,overall rating,model predict overall rating,0.7143746018409729
translation,2,235,results,overall rating,has,more accurately,overall rating has more accurately,0.5306667685508728
translation,2,235,results,results,conclude that,fine- grained aspect category sentiment prediction,results conclude that fine- grained aspect category sentiment prediction,0.594230055809021
translation,3,208,ablation-analysis,gmt,with,our mt,gmt with our mt,0.7488729357719421
translation,3,208,ablation-analysis,gmt,results in,large performance drop,gmt results in large performance drop,0.5313822627067566
translation,3,208,ablation-analysis,large performance drop,in,bengali,large performance drop in bengali,0.5534752011299133
translation,3,208,ablation-analysis,large performance drop,in,telugu,large performance drop in telugu,0.5961171388626099
translation,3,208,ablation-analysis,bengali,has,6.6 vs. 19.0 f1 points,bengali has 6.6 vs. 19.0 f1 points,0.5804768204689026
translation,3,208,ablation-analysis,telugu,has,1.7 vs. 13.6 ),telugu has 1.7 vs. 13.6 ),0.5808572769165039
translation,3,208,ablation-analysis,ablation analysis,Replacing,gmt,ablation analysis Replacing gmt,0.6634983420372009
translation,3,209,ablation-analysis,gs,with,bm25 retrieval,gs with bm25 retrieval,0.715161919593811
translation,3,209,ablation-analysis,gs,causes,large performance drop,gs causes large performance drop,0.6508272886276245
translation,3,209,ablation-analysis,bm25 retrieval,in,target languages,bm25 retrieval in target languages,0.4965894818305969
translation,3,209,ablation-analysis,large performance drop,in,all languages,large performance drop in all languages,0.5119159817695618
translation,3,209,ablation-analysis,ablation analysis,replacing,gs,ablation analysis replacing gs,0.6828680634498596
translation,3,220,ablation-analysis,single language wikipedia ablations,in,xor - full,single language wikipedia ablations in xor - full,0.5314888954162598
translation,3,220,ablation-analysis,ablation analysis,has,single language wikipedia ablations,ablation analysis has single language wikipedia ablations,0.5559208393096924
translation,3,152,baselines,f1,over,annotated answer 's token set,f1 over annotated answer 's token set,0.6600648760795593
translation,3,174,baselines,bm25 retrieval baseline,use,elasticsearch,bm25 retrieval baseline use elasticsearch,0.5294970870018005
translation,3,174,baselines,elasticsearch,to store and search,documents,elasticsearch to store and search documents,0.7776958346366882
translation,3,174,baselines,documents,using,bm25 similarities,documents using bm25 similarities,0.6471664309501648
translation,3,7,experiments,large-scale dataset,built on,40 k information - seeking questions,large-scale dataset built on 40 k information - seeking questions,0.635479748249054
translation,3,7,experiments,40 k information - seeking questions,across,7 diverse non-english languages,40 k information - seeking questions across 7 diverse non-english languages,0.6439688801765442
translation,3,7,experiments,7 diverse non-english languages,TYDI QA could not find,same - language answers,7 diverse non-english languages TYDI QA could not find same - language answers,0.7003247141838074
translation,3,31,experiments,dataset,of,40 k annotated questions and answers,dataset of 40 k annotated questions and answers,0.5501439571380615
translation,3,31,experiments,xor - tydi qa ),of,40 k annotated questions and answers,xor - tydi qa ) of 40 k annotated questions and answers,0.5662245750427246
translation,3,31,experiments,40 k annotated questions and answers,across,7 typologically diverse languages,40 k annotated questions and answers across 7 typologically diverse languages,0.6427035927772522
translation,3,132,experiments,xor - retrieve,has,cross-lingual paragraph retrieval task,xor - retrieve has cross-lingual paragraph retrieval task,0.5340436100959778
translation,3,141,experiments,query translation,train,transformer machine translation ( mt ) models,query translation train transformer machine translation ( mt ) models,0.6661931276321411
translation,3,141,experiments,transformer machine translation ( mt ) models,on,publicly available corpora,transformer machine translation ( mt ) models on publicly available corpora,0.47477084398269653
translation,3,141,experiments,publicly available corpora,for,easy replication,publicly available corpora for easy replication,0.5725511312484741
translation,3,156,experiments,xor - full,has,round trip task,xor - full has round trip task,0.6144675612449646
translation,3,171,experiments,three xor qa tasks,present,challenges,three xor qa tasks present challenges,0.6412525773048401
translation,3,153,model,machine reading model,to find,minimal span,machine reading model to find minimal span,0.5756939649581909
translation,3,153,model,given paragraphs,selected from,previous xor - retrieve step,given paragraphs selected from previous xor - retrieve step,0.6049924492835999
